Category,Pilot_include,SubCat,Name,Name_nb_def,Info,Source
SES,,Occupation,servitør,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,bartender,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,renholder,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,butikkmedarbeider,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,parkeringsvakt,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,gårdsarbeider,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,taxisjåfør,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,bygningsarbeider,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,resepsjonist,,lowSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,optiker,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,kjemiker,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,tannlege,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,psykolog,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,forsker,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,professor,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,lege,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,advokat,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,dommer,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,fysikklærer,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,kjemiingeniør,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
SES,,Occupation,farmasøyt,,highSES,http://ibgwww.colorado.edu/~agross/NNSD/prestige%20scores.html
Nationality,,,afghansk,afghanske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,amerikansk,amerikanske,NorthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,australsk,australske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,bangladeshisk,bangladeshiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,belgisk,belgiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,britisk,britiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,brasiliansk,brasilianske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,burmesisk,burmesiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,kanadisk,kanadiske,NorthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,kinesisk,kinesiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,chilensk,chilenske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,colombiansk,colombianske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,dansk,danske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,dominicansk,dominicanske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,eritreisk,eritreiske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,etiopisk,etiopiske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,finsk,finske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,fransk,franske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,tysk,tyske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,gresk,greske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,guineansk,guineanske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,haitisk,haitiske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,honduransk,honduranske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,ungarsk,ungarske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,islandsk,islandske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,indonesisk,indonesiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,indisk,indiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,iransk,iranske,MiddleEast,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,irakisk,irakiske,MiddleEast,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,irsk,irske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,israelsk,israelske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,italiensk,italienske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,japansk,japanske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,koreansk,koreanske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,libysk,libyske,MiddleEast,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,litauisk,litauiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,malisk,maliske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,meksikansk,meksikanske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,moldovsk,moldovske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,marokkansk,marokkanske,ArabStates,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,mongolsk,mongolske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,mosambikisk,mosambikiske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,namibisk,namibiske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,nigeriansk,nigerianske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,norsk,norske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,pakistansk,pakistanske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,palestinsk,palestinske,ArabStates,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,panamansk,panamanske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,peruansk,peruanske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,polsk,polske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,portugisisk,portugisiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,russisk,russiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,rumensk,rumenske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,saudiarabisk,saudiarabiske,MiddleEast,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,somalisk,somaliske,ArabStates,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,senegalesisk,senegalesiske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,slovakisk,slovakiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,spansk,spanske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,srilankisk,srilankiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,svensk,svenske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,sveitsisk,sveitsiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,syrisk,syriske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,thailandsk,thailandske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,tyrkisk,tyrkiske,Europe,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,usbekisk,usbekiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,venezuelansk,venezuelanske,LatinSouthAmerica,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,vietnamesisk,vietnamesiske,AsiaPacific,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,jemenittisk,jemenittiske,MiddleEast,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
Nationality,,,kenyansk,kenyanske,Africa,https://meta.wikimedia.org/wiki/List_of_countries_by_regional_classification
